,sentiment,content
11946,8,got to feel the belly but not the baby
11947,4,have to leave twitter alone for the night last night in barcelona back to philly tomorrow hope all have great friday muahh
11948,12,sorry lol
11949,10,wish was outside thats the only thing thats gonna kill me about work all day everyday during the summer
11950,10,it was actually so hot today the sun has got his hat on every one has got tan except me
11951,12,ugh apparantly doc authorized my refills on tuesday and ready to be picked up but the order status online still says waiting review
11952,8,hey forgot me
11953,10,aww no which one
11954,8,sorry about that
11955,10,sorryyy milerz that can not vote would love to vote but it does not works sad and very frustraded
11956,11,dont know they sent out emails using my account about random stuff didnt even understand changed all my passwords
11957,6,agreed this time of the year we should change the motto to the soggy state my backyard looks like swimming pool
11958,12,is sad when people phones are dead
11959,8,have to leave to meet now looking forward to seeing him but so not done what wanted to boo urns wish was work
11960,2,just came back from school packing for my dad house
11961,12,on my way to la running little bit late
11962,12,that is the rd nkotb contest that canadians can not enter the overseas fans have theirs now it bound to be our turn
11963,10,wont be taking my test until
11964,7,got an email from my auntie bout fathers day mothers day seven moms but fathers day will consist of dads realitycheck
11965,11,ve been to best buy target and still no electrik red album loosing hope they ve never even heard of the girls
11966,8,tx me have new fone and dont have anyones numbers
11967,12,keep reading contracts as cataracts someone should bring me panera
11968,10,my husband is loosing his goverment job due to downsizing he is looking for new job but can not find one in our small town
11969,12,so screwed
11970,12,love you and day but that video was questionable can not say that liked it
11971,12,school is finally over no more test or work yes but im gunna miss alot of ppl
11972,8,wish was at the beach already
11973,7,nooooooooooooo amanda cut her hair loved her hair
11974,8,headache
11975,12,well do not point and laugh if mess up or die of nervousness
11976,12,after great day at work with the kids disappointment with my roof decal
11977,8,do not know yet lemme know if you come up with something though
11978,12,lol what bothers me is that messing with my metabolism drinking lots of water pretending its different food mmmm grapes
11979,8,and this year have summer school
11980,10,yea us and max poor trivun
11981,10,gonna miss my gurl while shes on her honeymoon
11982,4,it friday trying to find something to do
11983,10,have somebody installed vcenter server on windows sp sp is not in the compability matrix
11984,12,do not feel so good after eating all that food ugh
11985,8,looking for my dog she escaped
11986,10,so hyped about wish could go
11987,12,sadly no ll be going to the killumbus show really want to but no one wants to drive me there
11988,8,hulu no work in canada
11989,12,have tried bulmers pear cider yuk and it made me bad for few days
11990,4,ive got cold too it sucks and were awesome in ipswitch xd
11991,12,just got text by now the one on michigan is empty dont know about state street yet
11992,10,ouuuuuuuuuchhhhhhhh still hurting from the barca spanking
11993,8,is google maps not working for anyone else
11994,11,warning tweeting while ridding bike is dangero waaaaaaa crash
11995,10,she the ruddy manageress nd bad job from her can never find good place beyond or cuts
11996,11,so sorry saw it too and it shocked me to the core
11997,12,want this but
11998,8,god so sleepy today can barely focus
11999,10,very interested however low carbs for the next month means no beer for me
12000,5,just got my paycheck april bonus can deposited day the rest gotta wait til mon
12001,12,has not had time to go on twitter since working full time
12002,10,fun times just broke my usb stick like literally broke it
12003,7,had nice visit last night from boy with voracious stubble does anyone know what to do about raw chin haha
12004,4,waiting for my momma so can go to chase and see what the hell they doin with my money miss wamu
12005,4,was really disappointed with the whole promiscuous girl thing congrats on her success but think wasted talent
12006,12,lol will can not do it now lol cauz have to work but will make one and tell you love you oxoxoteambreezy
12007,10,neeeeed plans no one can hang out tomorrow booo
12008,3,glad hear it kerry didnt know were on gmtv this morning missed it
12009,8,damn so many good deals you guys have conspiracy to steal all my money
12010,12,oh no noisy family who live next door are back from holiday there goes my peace and quiet
12011,12,omg broke down and had pizza because was stressed out you mad at me
12012,12,thats terrible enjoy being with you every minute
12013,10,god im suffering greatly having no hair sitting in blazing sunshine bad sunburn
12014,10,haha aww ok now back to bionomial expansion ugh joy
12015,12,live in germany it costs lot too wish you could follow me anyway
12016,10,would like to swap sitting with grumpies
12017,12,know right that so weak but the seems most like the sk think latonya is lamesauce just call her that from now on
12018,12,have trouble updating
12019,10,is making cupcakes and says can not have any kelli you re bad sister
12020,11,wow ever notice that some twitters have thousands of followers yet they only follow handful actually less than two hands of peeps
12021,12,we ll do lunch uhh indoors though we are having thunderstorm rolling in
12022,12,wish could get my nails done stupid job
12023,8,selfupdate and clean ruby fixed that part but now its failing on rb rubygems
12024,8,hate parents
12025,10,nice days like this make me miss alki
12026,10,yes do and still almost at my gmail storage ceiling argh am being forced to delete stuff or buy more space
12027,12,just threw up
12028,12,twitter has spoiled all the fun frustratingly slow couldnt even bid properly
12029,10,mom just woke me and am so mad was dreaming about shoes she whants me to go to the river it is so stupid
12030,10,hey you did you ever pre order your sims so sad im too poor to get it right now
12031,12,working can not wait till funeral on monday
12032,8,did not know the statue in the venetian was real man and screamed so loud everyone laughed
12033,6,just told the people that matters the most to me to just leave me alone fucked up again
12034,10,hate car places jx
12035,12,needed my semi gay best friend to go shoe shopping with me tonight alas he is nowhere to be found
12036,8,have great time in the hamptons hope it for some relaxation not for work
12037,4,well are not you just absolutely special haha special ed think ve received no new followers
12038,12,had little fight with my best friend what should do
12039,12,have softball
12040,8,temporary address not working either they must have done something to the domain
12041,10,work or hehe mind in the gutter sittin here doin this student loan thing
12042,12,ugh not sure have the patience or remaining intelligence at this point in the day week to refactor and rewrite this package of code
12043,12,thanks for wishing me luck couple of weeks ago on getting into higher choir but did not make it
12044,1,ditto that my friend bored oops now have an exciting problem
12045,12,seriously need to find out why my laptop sometimes gets so hot bbl after errands pricing comp fixes not many places left that
12046,12,when someone edit your designs is called plagiarism right but what can you do tired exhausted and dissapointed
12047,11,blinded again
12048,4,now it weekend it so great saw the rest of twilight tonight and also have read fininsh break for know could do that
12049,6,got locked out my carrrr had to call lock smith
12050,12,except the fact that it been raining since wednesday and not supposed to stop till monday ew
12051,8,me too need some tour dates stat
12052,8,oh and feel for you getting up at such an unearthly hour
12053,7,gave up following she seems really nice but clutters the hell out of my feed it got annoying
12054,6,damn for reals wtf
12055,8,never relaxing weekend for the allahpundit
12056,11,oh no my fun weekend with friends is gone my mother has made family weekend of it damn
12057,10,so disapointed good evans they sound really bad so out of tune britainsgottalent
12058,10,tried to help
12059,8,still on the train goin the southside
12060,11,good thing is they have computer bad thing is it blocks all vidjagame sites yes even vgtribune com is blocked
12061,2,these kids are terrible if was in good evans call childline
12062,6,bubbletweet hates me
12063,10,soo sick hate my life
12064,12,and here did not think you had cruel bone in your body torturing me with sunshine hmph
12065,10,dedicated that song to my vw when sold it
12066,7,you missed me lol
12067,10,well looks like hurdle is out
12068,12,aww internet but yeah he did say he wanted applause after every take he did careful what you ask for lol ahh twitch
12069,10,unopened pack of goat cheese starin me in the face starving din not til
12070,8,trying to plan huge birthday party by myself
12071,7,that movie looks very cute and funny never get to go to the movies
12072,11,mmmm now you re speaking my language unfortunately in militant diet mode am seriously thinking of competiton so no tb guess
12073,12,hate fighting
12074,10,editing video in the van little hungry and depressed that did not see up yet
12075,11,are you all going without me
12076,7,aww he must be an amazing brother
12077,12,gay marriage is not legal everywhere here
12078,12,saw that you were calling but cannot answer as in the second hour of phone convo with my mom and she will not stop talking
12079,5,congrats on the invisalign need to get refitted for mine got lazy and stopped wearing them
12080,8,shoe shopping but out of luck they do not have size in anything want
12081,3,about to go on hour journey home
12082,10,friday night and working
12083,12,damn it can not film it nevermind
12084,10,tried to join the chat but the site would not let me sign in
12085,9,yeah because ll have to go tomorrow morning and get picked up early sunday so see no reason to go the whole weekend
12086,12,getting sick cough cough
12087,6,bgt piers should not have buzzed when the little girls were singing
12088,10,just lost internet and was in raid for os
12089,12,whew literally shopped till dropped and sprained my ankle ugh do you see the sacrifices make for you
12090,12,im the dentist scary people here
12091,8,it was
12092,2,where did go
12093,12,no none in the house and not sure should drive to the coffee stand it worse than thought it would be
12094,12,so sorry to hear your terrible news thinking of you all
12095,8,may have to work saturday want to just rewrite it properly over the weekend but bosses may say just get it working now
12096,10,comp mental health would not take me samuel rogers center in the city gave me appt on june th have days worth of pills left
12097,6,in bad mood now annoying when its sunny
12098,8,
12099,12,no more mshs gotta go to work too tired
12100,8,bandwidth limit exceeded on your website
12101,10,was it for the vma guess so also wanna go to london in june for demi lovato concert but no one going with me
12102,12,well do not what we should do
12103,12,ok over exagerrated twitter is not to bad guess
12104,10,is having profitable day looking forward to sunday gonna be great day sad too because it the th graders last day
12105,10,sorry me no like when people like do not feel well your tummy
12106,8,guess ill drive it back nine hours
12107,12,is watching britains got talent is biting her nails please do not come off black nail varnish
12108,8,taking care of yucky stuff
12109,10,still freakin out about missing the game jonasnewsongs
12110,10,mower shopping
12111,5,thought it was rubbish twins are cute tho
12112,12,well perhaps that because do not find my life fabulous
12113,10,sometimes feel like the only person in the world without an iphone
12114,6,are you on about bgt im not watching it tonight cba my mates where on it on tuesday xx
12115,10,burnt my arm just thought you should know
12116,2,the little wormy from labyrinth sadly passed away today but its ok as hes still around in happy ghost form aww
12117,10,twitter is trippin right now with my pic
12118,2,no mine looks the same
12119,6,that sucks
12120,9,as of this point am done am not going to waste my time re downloading all my music lost songs
12121,3,can not go to the grocery store on an empty stomach that trouble wanna see ur show but not sure ill get to let kno
12122,12,can not find my woody and buzz toys but ve got my bullseye teddy do you have toy story toys
12123,7,happy birthday mel we miss you in the uk
12124,12,stuffed can not move
12125,8,something outside has bell and wont stop ringing think its children with bikes the asbos
12126,8,no internet for week or longer
12127,11,updating maven dependencies know this is good thing but would be better if it happened when was asleep
12128,8,dreambears were crap compared to their wicked audition
12129,8,back from lunch and just remembered have to join the daily recap with jb
12130,8,ok ve eaten some food and now bored to death in my room seriously there is nothing to do guitar been taken to the venue
12131,12,hates broken promises
12132,12,ahhh miss you had dq the other night without you it broke my heart bit
12133,8,is coming back to ruston tomorrow
12134,12,kam just called she emmy laloo went to the barn on their way back now and keltin is in atomic meltdown mode that long drive
12135,3,wishes she was in boston for dmb
12136,4,is reminiscing about this time last yr when she was the bh listening to some awesome music shame it can not be repeated
12137,12,feel bad for john and kate and the
12138,10,have fun without meee going to missss youu
12139,6,hate how will not see you ever again and especially next week because will not have anyone to go yum cha with
12140,1,he has to have new suitcase but he is just so bloody indecicive everytime he wants to buy something it takes hours
12141,12,he on zul jin think that how you spell it so doubt they ll ever meet
12142,4,everyone vote for for the mtv movie awards coz my comp is mashed up and wont let me vote will somehow
12143,10,my blackberry got fatty battery guess we re kinda in the same boat huh
12144,10,gotta work lonely weekend ahead
12145,8,in santa clara long way from hoe well not that far it sure seems like it
12146,11,loll whats boyfriend supposed to mean then its to cold
12147,5,imma miss dem kobe nd bron commrcials wen cleveland get knocked out doe they wer funny
12148,12,do not want to go to the hour lecture
12149,8,she shouldnt judge the song on who wrote it tell her shes mean haha
12150,10,because your mean to me and it makes me sad
12151,12,auto uit de running one down one yet to build
12152,5,no was gutted when he was not lmao think obsessed with him bahaha
12153,8,plead temporary insanity for agreeing to metric century cycling event tomorrow
12154,5,really it looks like its going to rain here but its all just gray la is bummer sumtimes
12155,10,didnt get paid this week roll on tuesday
12156,12,hours of refusal upon realisation that tomorrow morrissey gig at brixton is postponed only been looking fwd to that for monthsish
12157,10,oh unfortunately not
12158,11,cut my thumb with the saw in small metals again
12159,8,going to the airport
12160,2,there is nothing for me to do here wk should just go home or can go look at bathing suits bah humbug lol
12161,8,migraine is fighting its way back from last night
12162,4,is there going to be new brunswick canada drive lol live far far away
12163,12,after mad calls txt fb msgs my homie finally calls me back was so worried think care far much but if anything happened them
12164,12,frak like sunshine but do not like heat headaches shame because today was lovely otherwise
12165,1,can barely walk they re twice the usual size least its now not in ny ive requested my song retquestin owt nite
12166,8,do not remind me was supposed meet up with the homie that show ack so kill it please do the damn thang
12167,12,when it rains it pours life sucks
12168,10,hey sorry just got the tweet about the puppy and someone already got it
12169,5,is dreaming of the weekend awake
12170,7,graduation tonight gonna miss my boys mikey dustin miles charlie travy nicky john jake all my boys love you guys
12171,8,he my boxing trainer although think the bruise came from me hitting myself on something ow
12172,7,ahh love chinese music haha not gonna see my luff til thursday
12173,12,do not know what im doing
12174,9,about to clean my room
12175,12,is wondering what happened to all those froggies at the potato farm
12176,6,coming to work rag on your head
12177,9,slowly getting ready for work
12178,12,man icant send love on bebo cuz im on skoo comps ugh thiss sucks
12179,12,but they were not that good see the cuteness factor getting them through though bgt
12180,1,steve aoki sorry may nxt time
12181,12,cus it all got too much attention in the end shes embarrased and think it just got outta hand bit poor girl xx
12182,10,dreading hearing even worse news tonight
12183,10,see wat mean bout foll friidays it called lose llowers friday smh
12184,2,took short nap now im ready for work my sun burn hurts
12185,11,not but went to his page and it made me hungry
12186,8,just heard good vibrations and thought of charlie dying on lost
12187,12,hey ll be in sa then maybe if we cross highways we can grab lunch
12188,12,but but who will produce the next starsailor record
12189,7,grrh wii remote dead no multiplayer here tonight
12190,12,no problem at least look on the floor we will not see the banana skin in our brains step on it once almost got killed
12191,12,have when my plans are messed up now stuck at home
12192,5,hey workaholic lol jus wanted to say hiiii always tell ash to invite over but she says ur always working lol
12193,10,in seattle washington im sooooo hungry miss alaska
12194,10,sorry to hear that
12195,12,tweet me have convo will tell you whats happening in bgt did you watch the final of lost was like noo dont end it there
12196,11,omg did just see tweet from miss bonnie amazing my phone died yesterday and oster has alltel miss you
12197,12,my baby is no longer kindergartener today was her last day
12198,10,fjgkfld sdh why am not at hometown days with my friends
12199,6,awk thats shit why is not she coming
12200,10,im sorry fail
12201,12,doh was hoping to get book for the missus but exclusive books are closed
12202,2,sooo bored now dat candace had go get ready ugh but got ma snowball but im still sadface luvs pete wentz hez so fukin hott
12203,12,will not feel guilty and like should be revising stuff after today haha
12204,12,do not forget to follow emma from london like you said you would wish you aswered my calls it cost me
12205,11,jamies free views dead
12206,7,gosh today sucks didnt get my tax returns im so upset cuz now have to miss my best friends wedding in washington lame
12207,12,car broken probably for good
12208,12,doctor appointment at because my blood pressure is high really already
12209,3,nice seeing my partner in crime gossip drama queen partner again missed my manda
12210,4,boooo my nd wkend bein ima in tha house alone
12211,10,mandy it will not let me vote want her to win but can not help am gonna jump off bridge kidding but this sux
12212,12,hope you be well na sis it so disgusting to be sick better take the rest that you need charge up mwah
12213,12,oh summer begins yay the fighting crying and stress has started with the kids it only been hrs since they got out
12214,12,maybe you could go outside to meet some fans im not even from sao paulo im from rio but idk just saying
12215,12,fire and rain by james taylor fits the style need for my sa audition perfectly but can not find karaoke track in high enough key
12216,9,yup their loss
12217,6,am very angry at this information marcos
12218,12,have one too
12219,10,miss ceddy
12220,5,yay almost home had to go walking today
12221,8,good wanna get out of the office
12222,12,need to get my act together at the mall again instead of studying
12223,12,want some cookies
12224,10,so bored need friends
12225,8,peeps me blackberry messenger is kwijt no pinging
12226,8,ended up force rebooting
12227,8,need one of these was just thinking about it earlier today as downloaded pictures via usb evernote eyefi
12228,12,tell me about it
12229,1,sitting in the tax collectors office getting ready to write check
12230,9,one is not supposed to have headache on friday that just not right
12231,8,that one has been done already
12232,8,work
12233,12,my girlies leavin me today vanessa ll when black mean back and reese ll sunday
12234,12,aw sorry about your cat no worries about the blankets was just wondering in no rush take your time
12235,10,its raning really bad
12236,10,of course it rains five minutes after finish watering the flowers it took me half an hour to water all of them too
12237,10,hummmmm ohh miss you so much realy but hope you have nice friends like us
12238,12,yum chocolate sorbet she barely even shared
12239,8,wow and to think some people actually really do live in the jungle but dont get to go back to hotel
12240,4,trying to sell my gm stock
12241,10,ugh was so hungry scarfed my lunch before even thought to take pic feastfriday
12242,11,they gave me regular coke instead of diet really
12243,3,so wish could get pregnant
12244,8,just ate way to many chocolate animal crackers
12245,2,have not had slip ons in years since my checkered days matter of fact only have my torn up all black classics
12246,6,there are other drs in the office and only mine does this it drives me nuts especially when it is an appt for my kids
12247,12,tinkered with open source virtualbox win yet would ve loved to have seen you hay always unfortunate timing for students
12248,8,do not believe there anything worse than losing best friend
12249,12,last tonight show with jay leno tonight
12250,10,no show tonight no plans ughhhh
12251,10,off to take math quiz on friday booo
12252,10,aaaah swear took it by mistake it was somehow attached with the charger apparently it needed break from huh
12253,8,wanna do some sessions with ronnie he da bomb know
12254,8,watching boring police prog after making fab pasta dinner trying to cut down on alcohol so only had water
12255,12,ahhh think my legs are burnt they hurt
12256,6,ugh hate waiting in airports could not find seat near an outlet either
12257,5,nice hair and nowhere to go
12258,12,think messed up my back its been like this all day
12259,12,missed the announcement something about being flow out for concert can anyone fill me in
12260,10,every day of my life lately feel ya girl
12261,8,did not get to hang out with kaitlyn
12262,5,feel so depressed that could not save it thanks for nothing
12263,12,phew long day and havent gotten to work yet
12264,10,want to see my bud mel miss hur loads
12265,8,genevaaa my picture isnt showing up dont think im doing it right
12266,12,say hi to me depressed cause cant see you
12267,2,anyone want cooked dan heating up in my bedroom
12268,4,napppinggg then work
12269,4,wish could play guitar my guitar got few christmas ago is collecting dust need to learn haha
12270,12,traveling to today to see grandpa in hospital yet another road block to cross fro my family
12271,12,your understanding would require taking paragraph out of context but para could lead to opting out of every class
12272,2,my sunburn is starting to peel
12273,12,sweltering afternoon no wonder the creepy slithering snakes are heading to the creek the nasty things can swim frightening detail
12274,8,hm both of us guess
12275,8,
12276,1,bad week for connectivity arlington panera wifi sucks maybe head to legal seafoods at airport dang missing metaverse stream
12277,12,just found about ten typos in one story in the plain dealer including one run on sentence it happens more and more these days
12278,8,job searching some more
12279,6,hates not having money roll on payday
12280,9,like to explain something complicated to someone and get back response of sounds good except when it sounds like do not care
12281,8,have now realized am not cool enough to ever get shout out from this player will not be playing on hahahah
12282,8,your not following me it will not let me dm
12283,6,am sure every office has them men and women with no capacity to realize they should shut the unholy fuck up christ
12284,7,degrees gross skies and thunderstorms perfect match for my mood lol
12285,12,am also gutted the end is nigh
12286,10,not happy
12287,7,can not wait for this weekend need break
12288,8,nope my computer right now is in need of power supply so im useing an old office machine
12289,12,oh dear god going to have to buy mac and pro tools think my darling edit suite is soon to be filled with prince of persia movie
12290,5,nice night should be golfing
12291,12,feel really sick and my teeth still hurt fml
12292,10,mow love mow
12293,6,ummm really cking annoyed that my computer will not let me get on facebook every other site known to man yes facebook no
12294,7,im probs gonna have to wait until it comes out on dvd
12295,10,oh noooo that sucks did you reschedule for another show
12296,10,just spent the day with bridget and small thing that got wind and farted lot oh yeah her baby now slightly broody
12297,2,if he did he would say hi
12298,12,getting ready for long weekend of work friday saturday and sunday
12299,5,leaving florida want to live there forever texan girl
12300,6,ve come to the conclusion that lemongrass chicken tastes like lysol so much for lunch
12301,10,wish was going to see today sad dont
12302,6,dammit slept in now have even less weekend to enjoy off to azeroth bbl
12303,8,bummer that means unless do youtube rip which do not know how can not have it
12304,3,bgt will be gutted when it finishes tomorrow stavros flatley all the way
12305,6,id be happy thats its friday if didnt have to work tomorrow blah
12306,10,traveling to to see my grandpa in the hospital another road block for my family to cross
12307,4,photo novusnovendo eyecandy live like stripclub only he keeps his clothes on but he can take them
12308,2,going to retake my softball photo because patrick studio is piece of shit back here for chores some friday huh
12309,10,want to forgive and forget this please and dont like him promise am going to live without drama for now so please
12310,6,oh same here can not believe they killed him off hate stringer now
12311,12,homeless afterjune st
12312,10,snap the same with any reality show watch the first and hooked very sad
12313,12,sad that school is over gonna miss all my friends and teachers
12314,12,we will be changing our name again please stay tuned and follow our new page once ophelia barks up new name for thx
12315,12,how vile are people they have to remove things that have value
12316,4,noo went to the zoo instead lol ru goin out night xx
12317,10,no one is at the tesla dealership
12318,8,it always rains right after get my car washed
12319,12,me and my sister is listening to goodbye my almost lover by fine frenzy that was me and scarletts song makes me sad
12320,12,know but unfortunately one of the fifteen bazillions of americans without health insurance awesome
12321,12,good luck you want new shoes ly
12322,8,but but it was funny when wrote it
12323,12,buy the team zotz and they decide to roast me
12324,12,nooooo hate traffic
12325,10,stuck at work stuck at work hungry
12326,12,damn why does it take so long to install sbs
12327,8,its so dead
12328,10,watching thomas the train engine makes me miss george carlin
12329,12,ahhh fcukkk missed out again you must fill me in with the deetz see you tonight
12330,12,happened to me the other day was wearing necklace that made white spot on my chest
12331,12,very annoyed by my braces cheek is all cut up and can not eat
12332,6,think did okay on my math test today really really really hope did if did not swear will get so mad at myslef
12333,8,post crash spotlight is now spinning its wheels indexing my time machine backup drive naturally the drive is in the do not index list
12334,10,why is it that shipping handleing are soooo expensive it is more than of my entire order not ordering yet
12335,12,just fell asleep for hours so missed both chances for first look hollyoaks ugh
12336,5,yes all on my own oh gone to bed after minor soap marathon photo editing night me ohhh inn on the lake nice food
12337,12,have not heard greg before scared ve heard he rather freaky
12338,12,hope all is ok
12339,12,ya suppose so wish cud hv thm bk
12340,8,not fan of all day trainings novi one sleepy girl
12341,12,healthy food is not helping my hangover
12342,12,aww man arrived how to guide less
12343,9,ooooh kay its time for me to stop twitterin and get going
12344,7,will take pics soon also would hang out with you everyday if we lived near each other
12345,8,when do the stars come out
12346,12,me too need the sudden urge to do it missing the diplomat title
12347,10,wishing could go with to soco to go climb instead stuck at work all weekend
12348,12,lol im going to log off for about an hr lolz lose more followers keep the nofakery movement going
12349,8,well evernote is giving away wireless sd cards fllwng thm on twitter tweeting abt evernote eyefi but us can only
12350,7,mmm someone come havelunch with me
12351,8,mine wont turn on
12352,12,all out of life preservers sorry but if it any consolation you re in for something really special tomorrow
12353,8,on way home tonight saw newspaper headline susan boyle quits surely not true
12354,2,has not shipped yet will not get over there until at least ll call you
12355,10,lunch break over going back to work
12356,3,aww wish the same thing
12357,12,good for you rachel have nowt
12358,10,mediatemple mt has awful ftp service
12359,4,no sleepover tonight
12360,12,yeah its goin to vmail now called it while was in the store no luck
12361,12,sorry
12362,5,massive headache going to see terminator tonight
12363,12,live here and do not see all these great things
12364,12,bit worried
12365,12,have one less follower that makes me sad and feel like my life is dull and uninteresting
12366,1,very bored all day no one talk missing my bf and his kisses hols almost over do not wanna go back skool
12367,12,please do not get me watching bb too
12368,12,my year old grandma in chicago is having emergency surgery today
12369,10,wtf come need this day to go by
12370,10,ooh hayfever has struck thought was going to avoid it this year but nooo remedies anyone
12371,10,what let down no mri today neurosurgeon did not order it which means we have to come back to okc soon we no nothing new
12372,5,watch jay leno tonite it his last day as the tonight show host
12373,12,is still pretty depressed about losing her hello kitty necklace
12374,10,okay gots to go and now for the first time since it started will miss the block party on
12375,11,my son first tooth came out but he left it at school
12376,10,watching army wives and it always makes me cry
12377,5,symantec ghost image corruption is making me cry
12378,12,getting me my family ready for kaylee graduation it gonna make me so sad
12379,12,it was buckfast brain just went blank
12380,11,oh nice jealous do not know what am going to do when they are all gone
12381,4,cleaning out my room and found this she took me to and insisted on paying for my ticket
12382,12,have to tell you that accidentally screwed up the layout of the lautner daily community
12383,1,is stuck in traffic
12384,8,yeeaaahh even though suck at twittering
12385,0,grabbing snack and drink at chili but the power just went out before got my food
12386,8,its cloudy outside
12387,8,remember those days was not big fan of wesley but really felt for you as youngster dealing with all that but you won
12388,4,getting ready to babysit
12389,12,cvs is that like genetic brand poor you my hubby gets bad allergies no fun
12390,9,finally home and enjoying the rest of my day azongo and are having smoke fest woot mmot miss my
12391,12,shiraz event was in an anti bahai center not in mosque or in election campaign sadly children wr involved in zahedan
12392,6,cold so cold fuck
12393,7,how are ya honey what happend to account
12394,10,german think should be able to go to germany for free whenever want plz
12395,5,haaa awesome remember my brother got given woody and got upset cause got buzz but then got both of them lmfao
12396,6,aww that sucks
12397,2,have no line bi focals for over yrs now end up taking glasses off to read close up
12398,12,still can not find my id and is going to be very very upset if can not go out with my deltas tonight
12399,11,tom is back in town
12400,12,you and the guys should come down here we are fucking freezing out here
12401,6,fkkk at the nurses coughing up my lungs
12402,10,it such romantic novel cried in the end now going to bed so tired
12403,5,ughhh think my plans are ruined was excited too
12404,12,omfg one of the worst days ever
12405,12,no viewers and and did you block me on skype
12406,12,what happened to the weather
12407,10,not happy
12408,8,acho que vou ver roupinhas goticas qqq
12409,8,was going to visit my sister today but she grumpy ll just chill at home with the family and visit her tomorrow
12410,5,this week of mine was not easy but finally it over
12411,4,new york dolls tomorrow night the depot cancelled refunds available at point of purchase
12412,8,what happened to where did she go
12413,8,did not see tuesdays was at work
12414,12,really have not got the hang of these hash tags have
12415,7,listening butterfly fly away daddy lov mamma lov ya
12416,6,ok so this eye doctor guy is taking forever and sitting in cold room by myself what jerk
12417,10,need horror to be lovecraftian actually not enough weird horror movies
12418,2,he got adjusting his mate online shop zzzzzzzzzzzzzzz boring
12419,4,why you will so little time in rio de janeiro forgive babelfish
12420,5,friday so freakin happy today was an annoying day buuut weekend tgif
12421,8,guess that boner story is not so funny ve had tons of boner moments like that unfourtantly
12422,12,looks like it going to be upset for venus
12423,8,need something to do ah gonna go have ice cream then water the plants then get ready for softball have plan
12424,7,am sending healthy healing thoughts in the mumborg direction
12425,6,think you need to define what you mean by clue will not be at wwdc this year
12426,5,new york from ft looks rather good last night in the big apple
12427,10,the best day ever met the greatest year olds but will never see them again ahh ll miss them saw them hour xd sad
12428,11,no happy hour in ccp eithah that bad
12429,6,aww had one yesterday they suck
12430,5,thanks for your support as kept updating it helps
12431,8,just got back from lunch at rick brian cafe with my father had the french dip and it was good but his omelette was burnt
12432,8,wish could get twitter to upload my background of
12433,12,did not have my camera with me totally regretting it now
12434,7,addict me okay admit need help but have been writing hits big bro really really have smile
12435,12,ummm my kid just said fucker like minutes before his gparents are due to show everyone knows it his mom with the potty mouth
12436,10,finally friday but still grounded till next thursday stereos life
12437,12,internet you were so fast and now you are so slow where did the fast connection go
12438,12,needs to get over this fever grrrrr
12439,8,which case got new one last week and not thrilled at all with mine
12440,10,at freddies having cotch and ladyhawke is here just missing you my bajan beauty
12441,10,still no eat still in office and now get sick throat days before leave for an air condition throat killing tour bus
12442,9,time to head back home my business here is done
12443,10,argh twitter didnt post my replies and tweets for ages aint up to much just enjoying the sun
12444,4,watch jay leno tonite it his last day as the tonite show host and late nite leader
12445,10,work for disney not all it cracked up ta be
12446,12,every pair of jeans own nowadays is very tight think mah butt gettin big oh
12447,11,boo was hoping for fake alien story with tinfoil covered beachball photo
12448,10,oh my gosh tomorrow as well god you re lucky might have to put it off for yet another week
12449,11,burnt from the lake
12450,12,radio royals am transmitter has packed up today not good anyone got spare in your shed lol
12451,6,this weather sucksss
12452,8,totally agree and there no way to avoid it
12453,10,off to the bank
12454,12,ok mr man help me out with some followers pleaseeeeeeee
12455,12,week post my horrible traumatic jumping cholla accident cholla next dirty trick pieces are starting to emerge from my hand ouch
12456,10,im not happy my ipod or laptop dont know whih but one has decided to refuse to let me sync my songs how can live without it
12457,10,fell down while holdin kales hand today hurt my foot he bruised his forehead im such klutz
12458,10,clicked on the check out pictures of angelina and it went to spam site about ordering checks go figure
12459,7,wow christa that incredibly sweeeet me want one if you get sec check out my app for merch asst rule lol
12460,12,hours in the sun rash
12461,8,and fell asleep minutes into the saget roast
12462,12,lol was just walking think its all the polish used while cleaning earlier its made the floor slippery
12463,6,nah how it sucks to wear suit and how the temp goes up degrees when someone sits next to you
12464,12,home from work today son is sick
12465,10,lobster dinner with mba folks tonight but no terasse pouring rain in mtl
12466,11,home from jack now can not say too happy about that either
12467,10,oo noo thats not good
12468,12,the weekend is about to begin got an idea for project that think would be cool just not sure ve got the time for it right now
12469,10,feeling bad for daisy she cries in every episode watch waaaaay too much tv
12470,10,lost follower oh well probably one of those mute ones anyway
12471,3,last day of work but everyone is making it so great
12472,8,one more day baby
12473,10,ve been dead the past days the flu sucks
12474,12,urban think fail chai latte is not good there
12475,5,aww what sunny day tasty barbeque with the family got bad sunburn though
12476,10,told that joke onstage at butlins in one person laughed scarred for life at
12477,8,wanted to see that enjoy it
12478,8,the dayem computer twpp
12479,2,days of summer holiday left and they are going way too slow when will school get here
12480,5,back from lunch ready to go homeeeeeeeeeeeeeee
12481,11,lost my tooth day whilst was eating gum oww
12482,8,just found crack in my baking bowl milk spilled everywhere
12483,8,have no idea
12484,12,yeah little rough this morning but more tonight and tomorrow night if all goes as planned caloric intake off the charts
12485,12,back from dinner my family not meeting christine anymore sunny weather tomorrow and day out about want red bull
